player_id,overall_rank,tier,pos_rank,pos_tier,player_name,position,team,proj_p10,proj_p50,proj_p90,vor,replacement_baseline,projected_season,proj_ppg_p50,proj_games_p50,inj_weeks_out,inj_weeks_on_report,inj_primary,adp,adp_rank,value_vs_adp
00-0030565,334,4,24,3,Geno Smith,QB,LV,80.1,243.8,426.2,-69.8,343.5,2026,25.04,9.1,2.0,4.0,Ankle,211.0,211.0,-123.0
00-0036265,335,4,102,6,AJ Dillon,RB,PHI,3.7,22.7,87.3,-70.1,92.8,2026,2.81,8.6,0.0,0.0,,688.0,688.0,353.0
00-0036906,336,4,103,6,Khalil Herbert,RB,NYJ,3.6,22.6,87.0,-70.2,92.8,2026,3.06,8.7,0.0,2.0,Groin,690.0,690.0,354.0
00-0038104,337,4,80,3,Tyquan Thornton,WR,KC,9.7,66.3,141.3,-70.2,136.5,2026,4.94,11.8,1.0,2.0,Concussion,528.0,528.0,191.0
00-0035249,338,4,57,4,Josh Oliver,TE,MIN,11.8,35.8,105.8,-70.3,118.5,2026,3.41,10.9,2.0,5.0,Foot,647.0,647.0,309.0
00-0040727,339,4,81,3,Tre Harris,WR,LAC,9.1,66.0,140.1,-70.5,136.5,2026,5.48,14.9,0.0,2.0,Hip,179.0,179.0,-160.0
00-0034613,340,4,58,4,Tanner Hudson,TE,CIN,7.6,35.5,84.8,-70.6,118.5,2026,3.23,10.8,1.0,2.0,Concussion,658.0,658.0,318.0
00-0035662,341,4,82,3,Marquise Brown,WR,KC,13.8,65.6,165.0,-70.9,136.5,2026,4.86,12.8,1.0,10.0,Not injury related - personal matter,685.0,685.0,344.0
00-0036414,342,4,104,6,Cam Akers,RB,SEA,4.3,21.8,91.6,-71.0,92.8,2026,3.23,8.3,0.0,0.0,,999.0,999.0,657.0
00-0036422,343,4,59,4,Adam Trautman,TE,DEN,9.1,34.8,92.3,-71.1,118.5,2026,3.17,12.2,0.0,1.0,Illness,675.0,675.0,332.0
00-0038547,344,4,60,4,Luke Schoonmaker,TE,DAL,9.5,34.5,94.7,-71.4,118.5,2026,3.26,12.8,0.0,0.0,,669.0,669.0,325.0
